"V1","V2"
4,195
59,115
36,158
11,155
123,71
21,29
37,41
62,128
48,148
59,113
65,77
106,72
18,51
14,178
24,106
139,43
87,3
33,119
2,67
158,19
89,40
36,65
23,140
69,26
125,25
43,87
76,61
72,96
55,54
113,48
24,80
51,30
93,19
82,80
109,18
94,61
59,91
48,102
140,23
51,74
105,35
45,129
85,97
60,14
62,39
15,118
75,47
129,53
16,68
124,38
44,52
35,137
76,14
31,91
92,73
15,89
44,113
115,61
132,13
23,127
146,34
31,148
87,28
23,158
76,107
78,35
27,59
86,52
98,88
169,16
61,62
39,26
38,77
158,30
28,49
13,134
103,50
12,99
121,13
149,12
47,42
22,41
133,33
47,17
70,86
114,28
75,71
49,64
52,122
16,167
61,100
29,34
13,77
67,108
54,83
85,68
39,105
89,87
105,82
24,118
101,23
54,38
97,39
11,143
100,10
24,66
23,96
21,150
11,108
68,54
10,62
52,136
36,127
52,95
88,12
43,34
122,48
116,35
55,22
68,34
115,74
69,119
161,10
31,111
178,10
137,51
82,20
129,44
141,10
117,20
61,28
16,126
124,61
105,60
32,82
112,9
29,131
68,17
42,140
53,108
44,121
52,10
151,26
132,22
23,73
36,97
39,151
80,90
66,69
58,46
97,31
96,47
43,68
84,60
70,41
73,78
10,52
43,95
61,84
151,39
78,27
10,163
111,67
100,76
38,58
79,8
145,18
9,173
74,114
8,84
97,67
56,69
32,27
32,104
79,99
92,99
69,61
32,71
94,81
18,60
70,9
45,74
47,82
132,59
50,50
75,54
120,55
22,166
93,92
167,24
94,53
65,45
51,130
22,87
140,30
110,78
10,71
8,115
81,44
107,29
108,54
10,123
50,58
14,45
18,110
107,45
112,41
18,102
14,83
145,46
36,33
29,162
65,94
50,113
154,8
20,134
88,78
61,121
36,87
40,134
62,55
29,154
126,8
17,161
46,25
168,8
10,149
29,42
8,91
85,106
63,22
30,65
38,145
32,55
135,8
94,8
44,59
36,51
50,88
100,57
17,143
97,96
81,55
61,8
106,9
137,17
18,173
95,13
122,31
70,103
7,77
23,35
55,101
48,141
89,64
41,19
84,37
127,18
145,40
29,97
29,139
58,77
175,17
93,25
76,40
77,82
39,117
86,45
7,181
41,45
26,145
123,43
9,130
9,138
161,24
127,66
23,54
100,17
145,24
59,107
110,23
13,57
139,37
99,82
103,40
68,125
187,7
29,124
103,67
56,33
20,92
117,69
58,134
151,32
148,7
114,14
105,88
110,34
93,35
17,154
88,17
118,46
46,136
81,112
73,31
7,99
110,59
150,20
100,62
75,20
70,73
163,15
47,9
86,73
6,153
83,13
48,34
56,63
23,112
38,82
60,72
64,115
135,27
183,10
134,43
111,83
20,46
155,36
80,49
131,38
71,50
55,16
142,52
117,7
164,29
173,9
91,46
43,13
58,58
56,42
155,14
80,72
27,102
42,40
38,70
127,13
128,29
35,115
61,34
27,70
54,117
44,107
71,91
32,46
27,88
42,101
63,50
35,21
101,45
34,153
68,99
64,89
16,149
41,63
89,7
117,40
6,166
97,72
39,111
113,55
33,38
19,79
15,94
84,85
30,76
7,68
89,103
56,126
7,105
33,142
65,104
20,64
29,115
6,110
156,25
25,135
6,143
80,66
91,57
65,82
6,121
56,96
43,148
46,47
106,14
26,150
17,38
81,31
39,122
12,66
127,58
89,22
13,171
85,90
119,64
6,159
73,64
35,132
120,24
22,171
38,91
21,121
56,7
150,44
107,65
63,132
133,49
7,58
74,119
77,75
89,94
65,59
75,89
74,101
60,67
70,113
54,90
59,23
51,144
117,78
55,140
43,80
13,113
105,25
136,57
102,6
102,31
124,52
145,29
83,27
94,86
164,6
126,34
16,73
12,182
17,114
131,6
47,93
69,80
88,32
25,92
169,12
54,27
181,6
6,126
84,7
48,68
19,139
51,79
47,117
32,60
100,35
119,74
172,21
66,12
143,6
92,68
92,30
76,95
25,31
168,20
80,104
67,6
79,86
63,17
61,43
48,54
41,30
32,157
97,24
5,139
15,105
127,48
32,128
47,98
101,93
143,14
75,10
140,48
180,15
137,12
106,77
52,44
64,124
48,125
36,102
55,49
65,27
120,36
78,117
