"V1","V2"
36,132
83,103
39,18
44,50
122,28
103,22
35,42
21,96
87,67
68,97
11,48
24,134
118,3
31,25
8,56
101,54
83,38
58,85
34,25
137,47
27,72
68,59
64,21
43,106
144,24
61,39
22,154
49,67
85,85
64,114
117,47
109,70
18,117
86,16
25,57
50,127
44,83
69,75
20,83
101,39
83,53
132,15
134,34
45,33
34,148
160,17
42,118
128,55
52,98
33,91
52,18
14,169
73,32
15,142
102,79
92,27
148,36
31,111
120,64
150,13
56,55
116,17
97,13
111,34
79,73
72,45
12,108
60,67
74,85
17,68
92,46
98,66
94,90
14,130
54,116
70,12
32,121
12,153
110,59
24,44
36,60
81,26
38,72
124,39
92,77
57,30
73,110
48,139
12,89
57,106
108,50
27,36
51,77
60,125
32,101
59,11
141,14
25,143
51,41
78,64
23,164
165,10
72,23
11,98
12,77
22,108
60,75
109,12
68,121
132,24
36,33
42,95
170,19
92,58
124,20
55,135
176,10
29,156
19,50
9,65
37,140
122,11
77,17
102,30
153,27
30,50
60,94
24,124
146,44
164,25
72,68
16,60
30,83
13,161
27,64
50,89
115,74
9,120
63,48
114,25
20,75
108,41
12,176
75,99
61,60
49,11
83,94
47,57
77,91
93,36
64,81
150,21
86,8
64,32
124,49
44,25
36,155
17,102
8,166
67,105
127,33
56,47
101,88
111,79
78,46
79,9
25,117
134,8
65,89
77,56
100,46
42,65
54,62
30,138
25,102
43,128
131,41
116,39
25,88
40,55
141,35
155,35
42,146
34,77
183,8
85,77
98,73
8,147
47,114
42,136
91,98
103,13
95,83
116,55
115,10
50,108
57,22
43,42
29,130
8,82
8,129
85,60
80,112
92,20
10,137
16,43
17,123
127,64
158,11
71,116
122,70
39,88
143,8
86,30
138,21
170,13
37,125
69,39
114,64
69,52
44,74
11,71
28,97
136,56
18,89
85,46
104,59
37,98
130,47
144,49
18,174
110,18
91,71
79,81
46,19
107,26
9,142
128,10
21,37
73,79
122,58
160,33
140,40
10,113
7,92
59,100
8,184
50,133
105,65
30,162
105,7
147,30
18,136
138,28
77,36
54,122
65,15
157,23
7,75
94,7
8,178
90,52
32,68
90,12
36,114
37,108
17,148
55,36
36,47
64,8
89,104
54,72
26,79
28,148
98,19
39,27
126,15
107,84
45,90
56,130
7,157
8,172
98,95
169,24
47,100
96,49
65,69
98,61
58,16
96,42
175,18
56,92
7,106
71,90
98,35
128,28
29,45
15,112
104,74
152,40
121,33
92,65
50,48
81,32
52,27
60,118
7,51
57,80
48,121
62,108
152,7
14,53
12,125
94,31
72,62
62,26
32,144
69,83
116,32
40,36
30,56
89,40
50,36
16,93
40,77
19,160
74,51
15,82
99,8
68,28
155,18
77,105
25,68
53,140
48,62
85,108
125,44
72,18
17,153
85,98
83,21
114,43
62,53
41,152
113,49
107,55
128,22
38,82
20,131
98,26
68,111
55,7
106,36
161,7
27,29
20,56
32,37
20,141
42,101
105,45
28,105
119,43
62,130
131,58
50,31
22,170
83,71
52,103
54,12
81,13
34,159
89,93
88,81
147,17
73,7
49,82
31,116
44,12
77,69
76,27
74,74
35,53
151,33
134,51
118,68
90,86
67,64
27,121
67,127
89,23
80,87
6,100
41,46
51,53
55,110
49,144
24,51
14,65
48,94
32,134
22,71
48,72
21,65
145,12
164,19
119,76
31,30
147,6
37,67
74,121
187,6
75,11
48,23
104,17
163,14
65,41
78,23
25,160
54,67
133,62
180,14
77,41
87,72
120,52
76,115
21,120
59,43
80,99
136,38
6,69
41,60
63,103
120,23
38,93
171,7
15,157
6,116
13,117
25,111
23,92
124,6
111,6
109,30
86,35
90,6
97,77
6,110
22,149
6,152
116,60
47,86
179,6
13,181
82,66
58,51
139,6
78,77
47,28
10,103
119,14
39,50
17,165
119,7
48,44
32,153
173,22
157,29
134,45
113,14
72,104
143,20
32,73
96,54
27,167
95,23
113,29
60,34
30,88
45,132
93,16
32,63
41,91
76,95
6,161
41,113
65,77
144,38
20,61
43,141
116,21
35,86
12,58
16,178
63,121
101,70
90,31
58,113
31,125
22,114
16,74
