"V1","V2"
27,95
157,12
50,147
86,113
4,184
32,72
112,4
47,45
43,141
30,71
117,39
162,11
70,53
67,87
99,101
5,91
13,65
87,8
112,5
68,58
49,114
93,68
65,25
89,30
49,78
137,34
20,154
25,117
26,135
28,51
51,96
88,84
128,19
129,49
89,47
38,122
114,64
109,19
68,108
51,30
80,71
43,59
33,37
76,39
102,39
150,24
104,78
82,99
53,15
16,126
66,75
38,105
73,15
39,87
15,105
104,55
34,151
78,26
17,79
56,53
13,143
15,166
62,42
141,17
162,23
83,58
61,122
140,46
54,68
103,65
16,47
127,35
28,85
101,27
91,94
40,26
98,15
119,26
51,127
78,87
123,56
94,57
19,57
38,66
57,84
89,19
63,15
59,112
174,11
63,99
28,160
111,47
51,137
27,108
11,175
151,35
13,117
54,104
25,126
38,50
35,138
12,157
20,90
93,77
117,16
21,69
29,59
142,27
78,107
71,68
132,10
36,97
23,146
61,62
101,88
75,78
93,39
72,100
115,55
43,34
116,73
81,48
17,98
33,129
69,120
80,17
23,40
99,47
58,22
110,32
10,135
52,38
10,74
69,33
134,24
45,70
123,10
38,78
160,30
12,87
150,10
74,46
43,18
53,60
95,23
84,78
123,67
10,54
44,132
85,39
27,33
47,107
134,56
76,61
59,91
42,149
76,114
121,46
44,99
9,97
10,111
46,90
20,112
80,33
133,40
59,130
22,167
63,51
60,34
85,65
166,17
59,75
147,42
32,117
181,9
33,30
25,78
11,150
39,112
19,133
96,7
61,8
109,59
107,71
34,45
95,85
69,9
88,53
81,93
27,45
73,93
104,11
45,123
49,54
32,144
99,72
129,61
153,19
118,32
8,121
50,22
29,65
153,29
107,26
34,91
49,10
109,39
65,93
41,42
57,47
17,174
35,56
81,9
127,27
8,167
22,102
31,79
10,128
94,33
62,80
26,141
89,101
70,21
117,9
41,93
60,68
45,84
55,118
7,161
86,72
46,27
16,73
140,9
49,102
71,82
112,79
77,53
17,149
110,12
172,18
39,129
24,62
106,84
135,16
92,62
126,40
11,181
104,32
35,22
31,103
43,53
168,7
144,33
6,51
103,18
57,97
98,93
33,85
122,35
18,161
30,124
92,12
42,117
139,54
67,114
20,84
86,14
135,50
7,68
100,60
116,44
160,17
29,154
8,80
54,132
113,25
22,35
56,124
18,139
110,53
66,126
33,112
60,106
122,20
84,105
10,104
18,62
147,19
35,156
53,91
68,43
8,62
157,36
39,73
38,60
72,28
7,140
56,29
31,98
47,63
54,76
75,7
52,82
124,51
19,118
89,58
37,147
13,58
15,52
77,12
21,51
56,9
21,45
120,62
50,120
126,6
140,22
72,73
146,48
168,24
67,65
7,145
43,78
72,88
82,23
104,45
80,82
77,98
145,11
52,44
140,39
46,137
113,36
134,30
44,13
13,94
15,110
94,49
60,57
100,83
124,15
86,95
86,90
81,113
10,48
26,150
75,119
73,57
49,131
53,110
38,35
33,160
64,30
80,42
98,52
44,112
17,40
146,6
78,66
6,156
108,64
95,97
88,24
49,142
159,6
87,35
38,134
89,75
6,113
57,42
84,28
117,49
29,90
152,40
154,8
6,107
68,102
130,54
126,45
43,65
50,71
43,104
15,153
135,45
47,50
173,6
65,20
98,78
6,178
47,16
151,15
94,18
99,32
75,21
120,70
23,74
22,107
64,118
93,90
105,51
157,22
94,28
112,70
46,39
72,111
145,24
23,159
67,13
64,84
50,87
21,128
30,26
14,132
23,121
179,15
84,86
75,32
83,52
6,101
67,38
136,6
57,71
59,135
65,55
60,26
13,43
65,6
73,106
29,114
33,67
130,15
8,186
99,20
29,165
13,122
6,150
34,107
103,6
97,65
65,69
67,49
42,47
93,72
119,53
32,134
40,21
12,70
107,8
59,13
98,42
114,30
37,18
31,41
171,14
70,62
165,30
46,145
46,128
13,138
11,163
78,75
117,21
124,31
5,128
148,30
24,131
55,34
59,38
15,84
117,59
72,37
61,46
128,67
43,74
52,51
109,75
12,170
46,95
39,153
7,84
100,9
30,139
37,101
36,70
13,100
41,137
24,171
6,171
52,6
187,6
36,27
91,6
32,49
88,107
42,126
33,63
24,83
25,55
127,12
92,82
