"V1","V2"
6,182
34,33
25,112
130,6
48,119
113,80
122,37
58,90
101,87
31,111
55,68
33,64
139,9
45,131
23,130
71,78
124,67
105,28
124,62
19,127
78,50
62,30
89,72
31,84
54,48
155,20
71,103
77,34
102,53
20,150
84,21
133,25
85,90
47,101
17,98
18,57
34,144
103,67
38,49
18,77
62,115
138,40
76,66
51,22
62,13
102,41
121,17
69,43
89,56
113,57
96,15
32,97
65,57
93,32
45,87
13,137
49,35
40,74
169,14
43,64
27,47
147,32
87,42
109,13
123,50
73,14
112,43
16,167
16,87
86,100
143,19
34,134
51,59
14,109
69,91
60,79
61,100
65,69
39,122
114,25
54,107
11,146
59,130
133,16
97,77
85,11
164,23
44,142
25,160
71,25
113,69
13,118
51,77
158,29
17,47
79,74
14,66
139,49
78,110
40,23
52,11
30,121
26,38
58,39
25,91
42,110
132,55
78,83
13,157
52,136
24,71
151,11
24,140
43,56
103,20
123,27
129,45
43,42
89,83
116,9
25,103
105,75
28,57
71,115
95,64
37,89
9,57
34,41
79,95
62,21
135,33
80,58
159,13
11,79
34,155
78,25
9,102
31,75
56,121
46,28
114,33
72,55
35,104
23,84
77,42
67,122
9,174
87,64
98,47
8,132
177,11
11,125
68,33
84,32
145,41
103,9
91,95
27,147
11,72
93,22
58,56
8,89
63,50
48,94
141,28
65,107
45,80
61,63
11,50
23,122
147,26
55,32
152,38
8,164
71,62
41,97
166,8
128,32
50,126
77,19
108,36
21,65
83,106
49,66
78,8
51,84
183,8
106,83
93,88
107,48
40,151
118,45
30,128
63,94
45,50
101,35
95,53
97,70
115,63
19,117
39,138
45,18
17,175
55,114
92,46
123,9
28,31
67,17
84,52
39,81
37,55
24,167
42,32
113,50
8,153
28,135
18,161
98,26
66,83
50,111
52,41
12,94
69,9
8,112
130,39
99,93
79,101
110,21
119,55
34,24
17,40
85,77
119,73
20,107
115,16
41,116
93,8
89,27
83,69
38,129
32,160
18,70
158,7
55,101
70,97
64,128
56,18
118,30
107,62
63,74
28,65
126,56
170,21
172,7
93,39
145,12
126,21
26,153
18,139
57,10
58,26
20,144
92,79
102,14
77,89
39,68
25,78
70,67
150,17
146,6
74,73
23,43
89,18
31,90
7,83
99,59
29,142
72,109
132,61
32,51
72,49
7,139
73,38
7,63
138,22
11,180
59,45
72,84
176,17
97,83
57,84
134,10
45,12
116,39
63,7
13,43
126,14
107,55
11,169
45,72
178,6
39,60
144,36
23,54
54,130
56,75
42,103
64,44
80,13
83,45
124,45
159,24
56,95
59,71
49,46
62,36
13,131
35,150
109,7
39,18
61,123
138,56
160,19
8,68
52,97
76,117
75,29
34,139
36,114
17,122
135,46
48,8
15,103
81,63
152,31
91,101
52,54
32,69
21,156
59,106
110,29
7,97
159,34
9,107
24,61
44,124
7,118
30,104
145,46
46,147
47,40
108,68
53,27
19,93
22,99
42,92
164,28
92,68
119,60
69,126
181,13
83,85
50,71
80,38
151,23
85,6
60,111
66,63
139,15
26,117
67,38
59,136
87,36
38,37
154,27
50,16
14,143
6,52
111,75
165,18
46,23
40,145
26,96
6,73
134,41
153,6
21,88
27,82
118,67
25,126
18,82
58,50
65,88
56,62
6,124
28,163
95,99
19,112
21,36
21,164
50,143
75,98
53,91
15,152
49,106
66,112
46,112
23,49
90,61
103,91
98,10
47,138
68,52
68,73
76,105
55,6
6,78
34,80
118,35
72,122
69,21
129,50
37,27
118,13
83,111
74,93
84,60
34,125
68,47
16,52
100,31
38,44
50,30
66,78
117,21
118,50
6,170
85,16
36,119
44,37
36,76
97,42
121,23
13,61
80,29
129,11
127,36
13,164
41,88
66,101
111,64
6,148
36,109
65,25
84,26
81,17
35,93
41,52
149,44
137,27
77,15
87,107
7,178
43,137
79,79
93,58
21,173
10,185
156,37
76,61
101,63
64,119
143,24
47,58
155,15
101,79
29,43
14,76
30,35
66,12
67,29
143,50
129,66
108,78
126,40
31,148
55,80
36,84
55,140
58,117
102,25
88,31
75,46
12,84
139,35
19,132
28,157
106,43
90,51
111,84
