"V1","V2"
41,130
82,48
52,42
125,26
113,78
112,8
45,63
2,181
119,34
137,23
160,18
11,167
137,5
102,61
50,58
95,83
21,30
60,14
52,24
36,111
54,94
29,84
83,23
74,79
26,51
22,134
122,54
21,68
137,40
59,113
71,36
98,36
20,152
78,100
67,62
21,118
47,81
101,20
40,35
82,62
41,94
18,97
12,60
18,81
69,23
151,28
34,146
48,120
100,48
55,70
69,108
89,92
113,59
92,65
113,21
28,103
38,50
68,47
85,78
69,118
50,13
67,96
112,44
63,86
33,123
44,140
144,14
92,14
100,73
78,13
107,29
59,124
86,37
32,63
14,108
128,45
37,77
63,30
128,12
170,11
64,74
45,106
122,65
76,90
28,159
12,143
51,133
32,135
22,42
53,50
15,125
93,23
32,41
92,53
57,103
149,38
140,48
130,34
77,112
77,71
42,25
152,10
14,51
54,33
10,177
110,69
119,14
61,39
16,160
13,89
105,13
12,134
131,55
107,53
11,73
136,15
69,10
88,101
106,39
10,100
178,12
21,143
56,78
120,42
30,92
25,110
30,116
161,26
59,57
77,41
37,86
74,58
89,30
23,167
13,116
79,30
30,30
60,48
37,153
25,126
86,70
75,48
143,29
28,150
104,81
93,76
11,153
19,58
56,85
38,102
21,90
93,44
100,90
136,30
8,124
26,74
72,29
49,74
41,70
49,88
45,39
85,13
154,20
47,97
169,21
45,52
118,72
85,56
50,113
145,22
159,33
116,50
99,55
76,64
43,17
23,36
113,33
97,9
9,67
60,65
43,148
40,121
32,56
95,96
26,58
48,33
42,115
163,9
51,141
127,18
117,27
55,8
83,108
7,114
68,56
67,80
62,107
77,20
40,58
47,46
80,84
34,70
11,82
72,85
47,127
146,46
62,22
66,124
51,101
85,88
97,28
71,69
28,68
36,23
14,44
54,64
29,142
38,135
127,39
21,104
90,8
61,92
119,8
20,48
61,8
22,161
142,36
59,133
143,8
54,18
7,147
8,158
108,63
97,62
81,93
14,173
101,67
87,43
107,75
7,133
31,49
122,48
17,74
63,101
115,65
54,119
93,89
35,95
7,163
128,64
69,102
7,55
166,27
40,43
19,110
75,106
25,97
17,64
83,7
15,149
55,108
63,118
132,25
7,187
42,78
138,54
29,130
17,167
35,140
21,53
88,24
174,19
42,88
166,15
130,7
107,23
106,7
54,127
66,16
80,36
114,39
126,58
20,127
8,107
7,87
13,95
23,83
119,20
149,18
47,28
65,113
69,90
73,16
87,61
93,35
22,63
186,7
73,96
71,42
76,8
157,8
154,38
48,69
16,139
88,18
16,103
134,49
39,144
84,32
98,15
7,78
64,51
7,95
8,182
106,18
95,70
34,34
80,76
135,9
103,34
49,18
27,44
8,139
15,69
83,98
132,60
31,155
79,53
17,132
101,6
132,18
29,164
112,14
58,26
124,34
33,160
7,61
70,113
27,136
93,58
25,146
87,83
127,51
30,98
75,117
119,59
46,135
147,33
36,117
28,37
45,12
112,26
62,79
73,53
100,41
83,41
40,63
50,8
90,48
106,45
35,28
33,106
14,179
40,30
110,83
144,41
100,84
97,79
81,69
6,153
77,25
106,86
125,6
20,174
54,89
65,6
89,74
30,78
71,123
68,32
180,6
116,55
83,103
33,82
170,6
53,37
43,101
66,39
113,73
36,129
55,139
28,122
132,39
8,49
46,92
46,22
111,50
24,154
32,74
137,45
57,44
6,119
17,86
14,164
6,72
42,83
6,129
47,145
105,70
155,16
8,171
141,20
142,52
156,29
58,120
81,17
52,82
38,125
64,128
67,71
50,53
21,157
14,56
45,57
164,31
31,111
91,98
71,76
159,13
54,55
36,46
95,19
59,33
49,108
22,77
17,121
23,122
42,47
37,158
92,103
153,24
99,24
122,70
183,11
105,58
18,40
135,35
11,128
64,44
71,6
40,108
14,78
64,12
81,113
25,92
39,149
108,34
65,91
136,58
36,66
149,43
99,95
122,38
41,54
111,55
64,58
97,87
27,33
101,27
78,60
121,29
122,11
59,72
122,17
175,9
126,68
52,29
146,26
45,111
16,155
89,56
75,33
59,98
56,60
21,139
101,11
64,68
164,23
18,114
6,102
49,38
17,93
25,115
40,21
151,34
33,151
116,44
11,119
36,41
87,106
