"V1","V2"
6,66
26,94
133,35
145,39
105,52
84,97
27,50
56,121
30,144
48,36
50,124
48,62
24,73
162,4
41,138
99,51
97,29
122,73
89,64
38,101
58,96
72,36
62,75
23,122
112,21
69,56
149,20
80,18
105,74
47,78
83,80
21,160
126,20
18,108
120,53
38,116
86,39
56,25
64,14
114,37
14,96
112,62
33,37
70,104
68,89
40,25
37,68
53,108
38,89
95,16
13,84
61,43
60,63
25,134
136,47
15,149
15,58
51,48
98,85
137,24
75,68
80,57
11,125
166,18
38,51
133,12
100,39
51,87
38,129
30,61
66,26
11,175
52,15
159,27
29,108
93,75
83,29
16,139
68,115
77,47
100,62
115,11
29,154
42,43
51,135
47,97
88,10
125,42
11,161
145,11
89,48
87,88
21,41
34,79
104,11
112,46
16,76
72,78
79,10
103,23
156,14
24,84
130,55
55,79
40,148
110,29
123,34
124,63
17,66
177,12
88,23
45,20
75,26
144,31
55,70
93,95
75,95
122,9
62,110
46,53
120,26
57,55
45,111
88,57
153,34
16,48
32,123
21,168
108,81
79,104
10,116
46,104
76,114
23,148
78,87
60,88
10,104
62,124
69,49
9,142
60,131
10,168
166,11
118,66
64,33
23,58
28,161
47,70
82,72
68,67
33,45
50,29
107,37
19,116
119,19
72,15
106,65
137,54
22,102
173,18
57,9
78,39
61,20
18,132
8,78
19,91
37,59
39,33
93,39
47,130
28,116
27,33
113,75
67,8
56,39
51,115
30,99
46,143
52,101
40,75
27,127
99,71
97,9
63,51
9,132
121,47
8,151
32,28
147,45
139,16
67,98
11,52
100,79
90,30
46,12
103,30
71,121
33,136
109,15
43,125
132,28
182,8
72,84
94,67
100,91
69,42
72,62
9,183
65,82
43,84
107,58
32,86
133,19
44,117
25,65
31,72
38,110
94,23
104,45
16,156
9,91
54,129
110,7
89,102
62,103
9,57
152,40
21,52
152,27
83,109
128,48
94,55
35,152
112,55
91,81
138,40
151,8
75,54
9,110
36,142
118,59
21,96
43,92
54,34
83,65
71,21
171,8
80,92
52,94
82,51
37,95
41,63
128,8
86,17
74,7
83,44
23,141
51,7
64,93
166,25
56,137
61,116
27,78
138,8
138,33
7,85
10,72
8,97
74,108
60,29
24,112
39,121
93,89
51,54
16,102
126,27
26,89
115,31
33,158
100,18
16,173
79,34
57,16
77,63
132,41
87,75
70,73
14,180
132,61
31,56
38,19
144,25
142,48
9,47
65,62
94,61
13,135
62,69
17,123
16,164
15,42
25,157
10,62
105,86
57,104
57,48
156,22
44,58
43,37
54,62
33,112
86,32
28,42
161,20
20,152
78,81
114,70
32,128
102,6
21,80
52,141
115,26
133,51
8,156
62,57
42,69
128,32
128,14
51,74
161,33
80,24
69,110
27,166
32,66
98,34
21,36
136,59
96,46
115,16
15,119
62,38
22,47
35,147
29,133
89,70
53,21
62,6
19,85
144,6
159,10
87,94
82,6
42,133
119,39
59,82
58,126
48,92
39,81
46,48
128,66
49,43
33,105
156,6
6,174
66,121
125,54
71,31
14,90
149,31
74,90
35,41
176,7
170,22
131,23
47,25
113,81
33,117
118,6
37,156
111,67
144,17
66,20
66,127
102,57
37,134
74,100
13,108
44,32
127,38
59,35
171,13
18,145
23,107
149,14
76,75
30,91
98,96
8,120
56,92
6,145
57,112
187,6
115,51
42,98
15,71
20,62
34,32
51,59
123,15
6,128
140,12
65,107
55,44
34,23
7,137
42,16
126,59
40,55
6,114
25,38
109,49
22,127
94,6
149,36
105,18
114,42
47,138
12,155
25,152
119,13
51,66
109,42
142,35
101,67
75,18
143,43
84,102
57,66
81,113
157,35
6,187
96,92
180,15
122,57
48,108
28,140
87,83
118,35
29,82
90,42
23,164
106,26
166,6
95,80
108,70
77,14
162,15
13,129
45,74
50,145
61,25
109,33
20,71
71,10
79,69
36,74
48,119
17,54
6,165
139,28
79,98
22,172
46,149
66,46
58,73
48,17
6,52
92,85
86,53
39,39
29,149
32,163
78,5
17,81
11,146
123,23
91,20
41,105
65,41
6,101
67,78
100,26
5,109
38,46
41,154
154,18
142,53
134,6
26,29
109,77
