"V1","V2"
50,2
39,32
66,41
29,126
9,103
16,148
44,90
53,32
72,87
123,35
53,83
151,33
90,88
34,27
119,51
106,63
160,27
27,28
92,40
74,49
40,66
48,115
70,21
24,84
66,108
89,20
84,66
26,108
107,28
139,22
56,64
35,49
19,68
44,132
32,144
57,97
51,47
16,132
117,16
102,78
97,54
17,52
70,72
138,44
164,14
19,162
111,40
80,35
81,102
102,16
85,54
17,117
43,78
31,96
64,120
13,90
29,62
36,115
69,59
127,24
148,13
51,17
24,42
82,13
119,64
67,12
131,52
45,101
32,76
137,33
12,76
55,127
85,78
92,29
13,170
27,153
101,45
63,82
64,29
109,72
45,56
43,142
93,67
110,51
126,45
128,12
18,140
12,156
175,12
89,96
78,111
42,21
53,107
25,118
81,90
26,136
148,24
11,60
60,51
147,41
10,112
35,132
139,11
35,85
18,100
68,98
51,72
113,9
43,121
36,106
102,36
30,36
125,58
82,47
9,68
101,69
60,18
12,125
81,22
36,58
36,152
42,42
93,75
64,91
117,29
99,88
53,9
94,10
10,49
158,19
72,29
58,41
75,95
20,60
56,115
167,22
155,10
9,143
77,58
19,110
76,8
100,26
24,49
74,65
21,127
49,63
63,68
72,116
111,58
78,71
11,179
131,39
50,122
48,25
58,73
91,48
43,109
49,40
22,92
27,162
111,21
119,72
53,135
111,79
118,43
72,79
20,171
72,36
120,8
68,52
84,29
89,102
12,137
144,30
80,83
36,123
104,55
38,96
26,71
25,146
50,96
87,60
60,11
44,71
130,18
16,83
79,41
27,55
73,104
95,60
144,47
87,8
58,25
32,42
104,10
86,72
96,82
138,53
131,61
158,34
15,45
53,56
167,8
49,87
112,66
44,49
58,88
87,35
123,29
33,69
95,18
75,16
134,27
26,101
39,137
152,19
9,164
170,16
184,8
62,126
33,158
132,7
44,84
105,84
7,185
19,154
42,148
129,30
21,77
79,52
57,121
123,15
61,104
8,82
62,113
37,146
58,133
44,15
94,94
153,39
144,20
31,118
119,58
11,97
38,74
112,34
49,140
78,28
59,57
7,128
23,35
46,33
85,106
24,65
11,149
146,7
104,22
30,89
89,14
118,22
8,121
51,101
161,8
65,35
154,26
17,123
79,77
163,31
31,31
49,77
40,26
15,105
126,53
114,47
32,54
143,36
36,38
81,7
127,66
49,130
7,155
15,175
65,17
59,33
72,110
69,123
65,75
106,41
94,35
10,174
7,54
58,46
69,46
86,41
95,24
132,46
33,139
179,7
27,78
73,42
30,113
54,51
92,55
23,166
16,73
99,7
64,62
65,7
141,16
37,79
116,77
82,95
75,23
6,135
134,14
35,91
124,40
108,46
35,64
26,95
111,16
62,98
6,177
40,126
53,24
69,67
86,24
118,34
172,6
85,85
14,68
104,50
41,59
68,83
96,49
81,61
104,32
7,108
14,56
127,7
17,95
32,101
101,59
22,104
16,63
58,82
53,92
29,83
49,53
64,46
12,117
93,99
40,53
135,19
67,115
13,161
72,55
24,141
36,21
17,166
7,74
7,90
52,67
41,114
98,96
6,60
97,42
112,27
21,134
56,13
77,45
104,73
123,22
91,6
66,103
128,35
70,16
76,118
85,99
40,86
99,31
151,7
40,103
176,17
30,131
139,28
106,6
180,12
47,146
41,154
54,78
64,22
114,72
31,107
83,111
58,7
17,38
23,151
37,43
58,109
29,46
138,38
62,131
132,23
72,10
89,81
48,107
166,27
84,17
98,75
100,64
6,95
44,95
142,51
70,92
23,113
51,111
108,36
37,141
55,139
11,132
34,110
47,136
47,9
136,59
54,37
6,147
123,69
69,26
121,47
159,12
47,20
86,92
103,91
64,56
20,88
88,68
137,7
20,46
28,50
115,53
143,25
133,35
40,17
30,150
15,113
75,113
47,45
55,70
170,11
34,34
20,41
23,123
149,29
6,160
75,83
6,100
45,127
117,11
12,85
20,55
75,74
135,49
87,46
94,86
142,7
77,100
58,93
25,130
109,85
20,144
13,141
33,128
69,33
91,62
101,40
52,118
52,143
17,158
172,20
24,157
163,24
170,25
5,140
107,13
43,30
83,38
54,131
56,18
78,64
46,66
106,68
55,28
41,36
95,71
60,61
56,104
110,62
77,91
47,111
