"V1","V2"
52,21
30,26
21,137
148,30
18,136
60,13
95,28
167,13
147,52
91,107
18,118
79,36
2,149
62,92
124,3
41,45
58,2
120,44
3,123
11,151
87,75
36,82
22,62
102,59
43,112
59,61
123,23
24,99
87,54
49,128
18,82
67,109
42,66
59,35
71,77
86,92
102,44
37,141
25,156
149,15
119,59
80,20
47,98
108,21
133,34
111,34
33,127
17,166
66,51
51,81
110,71
34,56
74,94
54,48
21,47
137,21
77,67
99,81
69,19
59,74
96,69
36,96
98,13
13,54
28,36
77,50
59,118
139,44
27,73
13,70
44,33
14,94
69,39
91,42
130,55
160,20
30,113
110,50
80,105
14,105
140,12
44,56
117,13
57,107
50,11
67,68
31,148
87,11
158,30
81,84
68,28
69,118
53,136
31,47
21,148
130,10
122,32
86,26
157,10
115,26
16,126
59,128
53,91
34,68
129,46
96,52
39,74
67,100
97,91
76,12
11,176
27,88
30,136
10,114
91,18
147,40
103,33
109,11
69,86
46,87
118,67
12,143
108,80
10,86
78,59
39,24
41,104
46,142
49,119
51,67
60,83
9,133
26,122
140,29
130,27
61,45
90,84
37,36
89,65
42,133
51,30
126,39
51,38
39,150
10,160
10,62
76,114
23,130
20,75
125,64
92,99
32,104
152,22
110,59
170,20
178,9
38,120
78,28
51,112
21,40
86,47
135,49
21,108
17,158
68,10
69,59
44,16
130,18
101,22
61,22
92,58
52,56
50,105
98,38
33,158
29,60
80,77
24,163
104,86
112,42
44,78
101,74
32,77
120,52
104,16
58,28
154,37
55,100
40,89
73,106
65,34
11,77
25,142
164,26
15,44
37,110
8,183
8,50
8,97
143,35
41,127
27,82
12,120
75,43
21,92
37,63
45,72
46,24
116,74
106,54
48,44
60,54
81,99
145,20
34,89
12,170
103,67
90,33
103,9
21,171
133,41
66,124
73,35
39,51
36,30
106,39
140,53
63,7
23,114
76,88
147,9
70,46
53,76
108,28
23,54
137,7
175,14
28,42
54,7
164,7
65,75
16,62
93,78
146,46
82,42
84,61
117,35
123,12
29,95
35,43
155,16
11,165
18,142
54,122
116,20
7,106
97,63
135,15
48,50
64,116
109,64
36,134
58,67
28,53
75,101
138,38
16,174
10,127
82,15
117,7
82,69
92,9
135,57
20,69
17,87
16,110
68,93
95,46
19,101
81,92
45,123
169,8
29,66
96,21
73,7
153,6
7,56
20,153
82,51
184,7
72,72
86,37
75,82
62,103
81,112
44,149
85,80
27,108
65,14
7,171
13,137
100,28
27,30
44,93
14,131
112,16
58,95
35,115
98,7
46,61
64,62
76,23
125,51
26,147
29,153
14,180
7,71
49,16
64,129
114,55
31,119
73,63
64,86
88,6
142,24
116,48
41,82
12,99
9,91
86,19
17,51
7,142
42,20
85,103
59,134
55,42
75,55
82,57
130,63
109,85
37,155
54,129
18,56
91,24
83,30
91,89
6,156
174,6
62,70
127,34
103,49
7,82
52,62
152,33
55,14
78,7
44,40
161,14
151,42
44,28
62,111
91,51
102,92
27,167
54,116
73,16
112,6
47,135
100,55
23,79
60,88
114,79
126,58
124,69
27,127
22,35
135,26
93,93
41,61
7,66
95,83
23,104
156,25
96,74
65,81
45,106
95,34
91,72
51,143
71,24
183,12
51,87
121,39
64,41
107,6
124,17
126,8
43,118
107,44
86,98
164,17
114,64
35,101
103,79
49,34
77,109
30,162
143,6
30,100
163,31
83,88
140,17
142,40
59,123
82,10
24,66
7,149
72,122
6,179
41,138
32,142
69,64
93,38
77,72
84,108
120,28
45,11
57,18
36,19
46,115
6,101
58,8
105,24
32,33
25,134
20,123
62,30
52,97
55,85
175,20
14,84
39,145
144,15
48,147
12,49
33,38
134,53
86,71
55,53
50,123
15,146
107,75
17,66
119,17
35,123
148,24
6,119
97,97
19,162
127,24
121,73
64,19
42,97
71,112
33,22
62,58
11,108
87,30
6,138
54,35
114,10
93,14
55,111
37,78
28,131
39,40
23,119
6,166
54,71
71,31
99,17
44,101
124,47
97,58
70,54
5,75
139,34
180,5
136,31
54,26
61,79
12,66
25,151
81,25
38,67
144,28
33,152
6,112
31,84
141,48
